time_s,pH
0.0,6.9216
1.54,7.3153
3.06,7.0756
4.77,7.457
6.47,6.6801
8.01,6.6591
9.62,6.5244
11.18,6.5034
12.8,6.4019
14.3,6.3389
15.76,6.4054
17.28,6.2865
18.83,6.3757
20.6,6.3897
21.91,6.5787
23.44,6.3687
24.91,6.3879
26.45,6.3197
27.93,6.3459
29.59,6.2672
30.94,6.3617
32.46,6.4894
33.9,6.4947
35.36,6.3862
36.79,6.4194
38.25,6.4702
39.68,6.4894
41.06,6.4369
42.56,6.5454
44.07,6.6416
45.57,6.6871
47.05,6.9478
48.26,7.1473
49.96,7.2645
51.47,7.352
52.94,7.4535
54.42,7.5497
55.89,7.562
57.32,7.5532
58.79,7.5445
60.26,7.541
62.26,7.5252
64.32,7.5252
66.38,7.5165
67.14,7.5147
68.4,7.513
70.47,7.5182
72.5,7.513
74.55,7.5182
76.62,7.5182
78.68,7.5182
79.46,7.52
80.47,7.5182
81.47,7.5252
83.71,7.52
84.51,7.5235
85.51,7.5235
87.76,7.5287
88.53,7.5287
89.53,7.5287
90.55,7.5287
91.55,7.527
92.55,7.5322
93.56,7.5322
94.56,7.5357
96.83,7.534
98.86,7.534
100.86,7.5375
102.89,7.541
103.65,7.5445
104.65,7.548
106.9,7.5463
108.93,7.5515
110.96,7.5515
111.98,7.555
113.98,7.5533
116.05,7.5533
116.81,7.5568
117.84,7.555
118.84,7.5568
121.06,7.5585
121.82,7.5585
122.82,7.5603
123.82,7.5586
126.08,7.5656
126.87,7.5621
127.88,7.5673
128.88,7.5656
129.88,7.5656
132.09,7.5656
134.13,7.5674
136.18,7.5709
136.94,7.5691
137.94,7.5709
140.17,7.5691
140.98,7.5744
141.98,7.5691
142.98,7.5691
145.24,7.5726
147.31,7.5779
148.11,7.5761
149.11,7.5761
150.11,7.5779
152.32,7.5814
154.39,7.5762
156.46,7.5814
157.2,7.5797
158.5,7.5797
160.53,7.5832
162.55,7.5814
163.34,7.5849
164.34,7.5849
165.34,7.5832
166.34,7.5884
167.36,7.5849
168.35,7.5849
170.61,7.5885
172.67,7.592
174.73,7.5885
175.51,7.5885
176.51,7.5938
178.79,7.5938
180.8,7.5955
181.56,7.5973
183.82,7.5955
184.58,7.5973
185.58,7.592
186.58,7.5973
188.85,7.5955
189.62,7.599
190.62,7.5955
192.86,7.6008
194.91,7.5955
196.94,7.6008
197.71,7.599
198.71,7.5991
200.92,7.6008
202.94,7.6043
203.7,7.6043
204.7,7.6043
206.94,7.6043
208.98,7.6043
210.97,7.6079
213.0,7.6096
215.01,7.6043
215.78,7.6079
216.78,7.6096
219.02,7.6096
219.81,7.6079
220.81,7.6079
223.03,7.6079
225.04,7.6079
